user_id,product_id,rating,timestamp
U0001,A018,4.0,2024-11-04
U0001,A002,2.5,2024-08-06
U0001,A032,3.5,2024-03-26
U0001,A008,3.0,2024-12-19
U0001,A017,4.0,2024-08-15
U0001,A036,2.5,2024-06-28
U0001,A019,5.0,2024-08-16
U0001,A057,1.5,2024-01-22
U0001,A022,3.0,2024-06-29
U0001,A021,2.0,2024-11-10
U0001,A053,4.5,2024-08-10
U0001,A027,3.0,2024-05-20
U0001,A059,3.0,2024-11-23
U0001,A049,3.5,2024-01-30
U0001,A035,3.0,2024-02-08
U0002,A036,2.5,2024-07-09
U0002,A040,2.5,2024-08-15
U0002,A045,3.0,2024-02-09
U0002,A031,2.0,2024-10-20
U0002,A039,3.0,2024-03-11
U0002,A016,3.0,2024-09-28
U0002,A023,3.0,2024-07-06
U0002,A038,2.0,2024-07-22
U0002,A044,4.0,2024-06-09
U0002,A033,2.5,2024-11-28
U0002,A058,2.0,2024-05-22
U0002,A059,3.0,2024-05-07
U0002,A003,3.0,2024-02-28
U0002,A010,3.0,2024-01-14
U0003,A032,4.0,2024-03-03
U0003,A017,4.0,2024-03-10
U0003,A034,3.0,2024-02-07
U0003,A046,5.0,2024-08-19
U0003,A022,2.5,2024-03-29
U0003,A043,2.5,2024-08-15
U0003,A037,3.0,2024-02-14
U0003,A038,3.5,2024-12-15
U0003,A058,3.0,2024-06-12
U0003,A027,3.5,2024-12-07
U0004,A012,2.5,2024-09-09
U0004,A018,2.0,2024-01-14
U0004,A002,4.0,2024-07-03
U0004,A017,3.5,2024-10-10
U0004,A040,4.5,2024-10-20
U0004,A015,3.5,2024-07-07
U0004,A016,2.0,2024-08-27
U0004,A021,3.0,2024-10-09
U0004,A042,2.5,2024-03-07
U0004,A004,2.0,2024-11-09
U0004,A058,2.5,2024-02-14
U0004,A003,4.0,2024-02-03
U0004,A035,3.5,2024-06-07
U0005,A024,3.0,2024-01-29
U0005,A033,3.5,2024-03-04
U0005,A025,2.5,2024-09-22
U0005,A054,2.5,2024-03-19
U0005,A040,3.0,2024-06-04
U0005,A045,1.0,2024-03-25
U0005,A060,4.0,2024-03-23
U0005,A020,2.5,2024-06-14
U0005,A009,3.5,2024-12-29
U0005,A044,3.0,2024-04-25
U0005,A059,4.0,2024-06-26
U0005,A011,3.5,2024-09-22
U0005,A049,3.0,2024-05-25
U0005,A029,2.5,2024-02-10
U0006,A001,3.0,2024-11-24
U0006,A032,2.5,2024-10-22
U0006,A005,2.5,2024-05-15
U0006,A025,3.5,2024-11-29
U0006,A047,3.5,2024-04-17
U0006,A058,2.5,2024-10-19
U0006,A057,3.0,2024-08-01
U0006,A042,2.5,2024-11-12
U0006,A044,5.0,2024-11-23
U0006,A011,3.0,2024-01-16
U0006,A049,2.5,2024-09-11
U0006,A035,4.0,2024-11-17
U0007,A024,2.5,2024-08-25
U0007,A051,3.5,2024-04-14
U0007,A017,3.5,2024-06-23
U0007,A030,3.5,2024-11-06
U0007,A045,3.0,2024-03-14
U0007,A060,3.5,2024-06-09
U0007,A015,3.0,2024-06-12
U0007,A050,4.5,2024-06-25
U0007,A023,2.5,2024-07-23
U0007,A037,4.5,2024-03-07
U0007,A038,3.0,2024-07-08
U0007,A008,2.0,2024-09-20
U0008,A008,3.0,2024-05-28
U0008,A001,2.0,2024-07-15
U0008,A005,3.5,2024-11-11
U0008,A034,3.5,2024-08-02
U0008,A030,4.0,2024-05-07
U0008,A015,4.0,2024-03-22
U0008,A048,3.0,2024-06-16
U0008,A059,2.5,2024-10-22
U0008,A058,2.5,2024-06-09
U0009,A017,4.0,2024-10-25
U0009,A030,2.0,2024-06-29
U0009,A040,4.0,2024-01-25
U0009,A046,2.5,2024-01-26
U0009,A060,2.5,2024-05-24
U0009,A016,2.0,2024-09-10
U0009,A013,2.5,2024-11-01
U0009,A021,1.5,2024-11-30
U0009,A042,2.5,2024-12-10
U0009,A008,4.0,2024-08-28
U0009,A003,3.0,2024-05-26
U0010,A028,4.0,2024-07-24
U0010,A001,2.0,2024-01-27
U0010,A057,1.5,2024-10-18
U0010,A060,2.5,2024-10-14
U0010,A043,2.0,2024-04-09
U0010,A053,2.5,2024-07-04
U0010,A044,3.5,2024-10-10
U0010,A033,2.5,2024-05-27
U0011,A032,3.0,2024-10-12
U0011,A036,4.0,2024-07-06
U0011,A040,2.0,2024-03-14
U0011,A046,2.5,2024-04-11
U0011,A045,4.0,2024-11-04
U0011,A041,3.5,2024-09-17
U0011,A043,2.5,2024-07-24
U0011,A053,3.5,2024-09-13
U0011,A006,3.0,2024-01-21
U0012,A055,4.5,2024-03-12
U0012,A036,2.5,2024-06-16
U0012,A046,3.0,2024-11-09
U0012,A056,3.0,2024-06-12
U0012,A038,3.5,2024-03-24
U0012,A001,4.0,2024-07-20
U0012,A058,3.5,2024-11-11
U0012,A003,3.0,2024-06-02
U0013,A028,4.5,2024-05-15
U0013,A018,3.0,2024-12-01
U0013,A007,3.0,2024-10-23
U0013,A032,3.5,2024-10-22
U0013,A054,3.0,2024-04-26
U0013,A060,3.0,2024-01-27
U0013,A013,2.5,2024-10-25
U0013,A009,3.0,2024-09-02
U0013,A056,3.5,2024-03-28
U0013,A038,2.5,2024-09-25
U0013,A001,3.0,2024-11-18
U0013,A059,3.5,2024-11-13
U0013,A035,2.5,2024-07-13
U0014,A007,2.5,2024-09-13
U0014,A047,3.5,2024-11-09
U0014,A030,3.5,2024-08-29
U0014,A040,2.0,2024-02-01
U0014,A026,3.0,2024-12-27
U0014,A031,2.5,2024-03-11
U0014,A041,3.5,2024-09-22
U0014,A019,4.0,2024-04-16
U0014,A004,2.0,2024-10-14
U0014,A044,3.5,2024-06-15
U0015,A005,2.5,2024-06-27
U0015,A025,2.5,2024-10-13
U0015,A054,4.0,2024-05-20
U0015,A036,3.5,2024-05-27
U0015,A034,3.5,2024-03-03
U0015,A046,3.0,2024-10-20
U0015,A020,3.5,2024-12-12
U0015,A006,2.5,2024-10-05
U0015,A004,3.5,2024-07-13
U0015,A059,4.0,2024-07-21
U0015,A058,2.5,2024-06-25
U0015,A027,2.0,2024-03-15
U0015,A010,4.5,2024-05-28
U0015,A035,3.0,2024-01-22
U0015,A029,4.5,2024-05-27
U0016,A055,3.0,2024-02-25
U0016,A026,4.5,2024-11-11
U0016,A003,3.5,2024-10-27
U0016,A042,4.5,2024-05-02
U0016,A035,3.5,2024-05-04
U0016,A038,2.5,2024-01-26
U0016,A008,3.5,2024-12-08
U0016,A027,4.0,2024-09-28
U0016,A052,4.0,2024-04-25
U0017,A044,5.0,2024-11-29
U0017,A007,5.0,2024-04-12
U0017,A025,2.5,2024-05-27
U0017,A054,4.5,2024-06-13
U0017,A057,3.0,2024-05-26
U0017,A020,3.5,2024-11-26
U0017,A015,3.5,2024-01-31
U0017,A023,3.0,2024-02-15
U0017,A001,4.0,2024-11-29
U0017,A008,3.5,2024-10-20
U0017,A014,3.0,2024-04-28
U0018,A017,2.0,2024-01-20
U0018,A045,3.0,2024-01-05
